statement_id,witness_id,stage,raw_text,cleaned_text,entity_person,entity_time,entity_location,entity_event,text_similarity_score,time_inconsistency_flag,location_inconsistency_flag,entity_contradiction_flag,risk_level,preparedness_level
S1,W01,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S2,W02,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S3,W03,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S4,W04,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S5,W05,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S6,W06,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S7,W07,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S8,W08,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S9,W09,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S10,W10,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S11,W01,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S12,W02,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S13,W03,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S14,W04,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S15,W05,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S16,W06,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S17,W07,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S18,W08,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
